f_preferred_name,Fe,C,O,Mg,Si,S,Ca,Ti,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 77408 ,-0.02 ,0.2 ,0.005 ,-0.03 ,-0.01 ,0.26 ,0.02 ,0.035 ,237.0394299 ,1.5717417 ,-11.779 ,-18.165 ,0.594 ,21.66 ,thin ,G9V(k) ,7.42 ,0.801 ,-19.00 ,-27.40 ,-13.40 ,5316.7 ,4.52 ,0.90 ,0.83 ,
HD 233731 ,0.28 ,0.25 ,0.25 ,0.32 ,0.29 ,,0.29 ,0.31 ,155.6816352 ,50.1283510 ,-47.766 ,21.586 ,62.753 ,81.77 ,N/A ,,9.76 ,,,,,5359.0 ,4.29 ,0.93 ,1.04 ,
HIP 11881 ,-0.22 ,-0.31 ,-0.23 ,-0.26 ,-0.33 ,,-0.18 ,-0.23 ,38.3141729 ,-14.3627468 ,73.907 ,58.398 ,-24.120 ,97.23 ,thin ,G8V ,7.81 ,0.760 ,-1.80 ,23.60 ,-13.40 ,5362.0 ,,,3.05 ,
HIP 110187 ,0.14 ,0.23 ,0.06 ,0.08 ,0.11 ,,0.14 ,0.19 ,334.7823596 ,-7.3135960 ,76.819 ,-36.177 ,-10.898 ,85.61 ,thick ,G2/3V ,8.86 ,0.599 ,-78.90 ,-106.50 ,-13.60 ,6015.7 ,4.34 ,1.11 ,1.20 ,
HIP 44657 ,0.195 ,0.149 ,0.17 ,0.215 ,0.145 ,0.135 ,0.165 ,0.13 ,136.4897193 ,-21.5325939 ,-38.683 ,36.722 ,-21.045 ,57.34 ,thin ,G3V ,8.68 ,0.674 ,-12.20 ,-16.70 ,-10.30 ,5835.5 ,4.51 ,1.06 ,0.95 ,
2MASS 19541219+4819568 ,0.11 ,0.21 ,0.28 ,0.12 ,0.11 ,,0.1 ,0.13 ,298.5508626 ,48.3324170 ,231.480 ,-425.431 ,544.219 ,728.52 ,N/A ,,,,,,,5104.0 ,4.42 ,0.86 ,0.95 ,
HIP 44668 ,0.27 ,0.275 ,0.33 ,0.25 ,0.215 ,0.23 ,0.205 ,0.225 ,136.5416365 ,-37.1527276 ,-42.143 ,39.934 ,-43.993 ,72.84 ,thin ,G5V ,8.57 ,0.682 ,5.60 ,-2.70 ,-8.00 ,5834.5 ,4.25 ,1.05 ,1.27 ,
HIP 110205 ,-0.091 ,,,,-0.253 ,,,-0.069 ,334.8545925 ,12.4597946 ,36.086 ,-16.939 ,8.808 ,40.83 ,thin ,G5 ,7.99 ,0.666 ,3.70 ,2.40 ,-32.50 ,5716.0 ,4.28 ,1.02 ,0.98 ,
HIP 77439 ,-0.63 ,,-0.25 ,-0.23 ,-0.48 ,,-0.4 ,-0.4 ,237.1240432 ,-2.1674579 ,-49.222 ,-76.155 ,-3.432 ,90.74 ,thin ,G2V ,8.63 ,0.595 ,-66.60 ,2.20 ,4.10 ,5792.0 ,3.92 ,1.03 ,1.57 ,
HIP 11906 ,-0.14 ,,,-0.1 ,-0.1 ,-0.01 ,-0.2 ,-0.02 ,38.4174364 ,77.6673174 ,6.177 ,4.899 ,36.060 ,36.91 ,N/A ,G5 ,7.67 ,0.695 ,,,,5649.0 ,4.39 ,1.00 ,1.06 ,
HIP 77444 ,0.16 ,0.34 ,,0.15 ,0.2 ,0.18 ,0.17 ,0.29 ,237.1489386 ,-65.2333768 ,-7.597 ,-11.766 ,-30.357 ,33.43 ,thin ,K2IV-V ,8.51 ,0.898 ,-87.80 ,-13.00 ,5.60 ,5087.0 ,4.49 ,0.85 ,0.86 ,
2MASS 18430881+0612150 ,0.19 ,,,0.02 ,0.01 ,,0.06 ,0.1 ,280.7867088 ,6.2041425 ,76.838 ,-403.307 ,44.631 ,412.98 ,N/A ,,13.46 ,,,,,5613.0 ,4.35 ,0.99 ,0.90 ,
HIP 110218 ,-0.1 ,,,-0.13 ,-0.12 ,,-0.23 ,-0.17 ,334.8931595 ,21.3671662 ,44.949 ,-21.062 ,19.421 ,53.30 ,N/A ,K3 ,10.30 ,1.586 ,,,,4864.0 ,4.61 ,0.79 ,0.73 ,
HIP 11915 ,-0.04 ,-0.064 ,-0.1 ,-0.03 ,-0.08 ,-0.0855 ,-0.006 ,-0.047 ,38.4542762 ,-19.6118057 ,39.766 ,31.579 ,-18.094 ,53.91 ,N/A ,G5V ,8.58 ,0.646 ,,,,5761.2 ,4.44 ,1.03 ,0.95 ,
HIP 11923 ,-0.36 ,,-0.05 ,,-0.17 ,,-0.15 ,-0.13 ,38.4737884 ,49.5060543 ,28.677 ,22.789 ,42.896 ,56.41 ,thin ,G0 ,7.77 ,0.628 ,-73.80 ,-70.80 ,20.90 ,5761.3 ,4.16 ,1.04 ,1.46 ,
HIP 11924 ,0.29 ,0.3 ,0.15 ,0.37 ,0.3 ,,0.2 ,0.29 ,38.4759469 ,31.5805793 ,63.380 ,50.371 ,49.768 ,95.03 ,thin ,G0III ,8.01 ,0.660 ,53.10 ,-18.20 ,-10.90 ,5850.0 ,4.00 ,1.06 ,2.15 ,
2MASS 08382429+2006217 ,0.16 ,,,0.1 ,0.15 ,,0.14 ,0.11 ,129.6012520 ,20.1060634 ,-113.110 ,136.720 ,64.956 ,188.96 ,N/A ,,10.55 ,,,,,6150.0 ,4.34 ,1.15 ,1.22 ,
HIP 11930 ,0.23 ,,,0.16 ,0.51 ,1.54 ,0.38 ,0.19 ,38.4936005 ,71.2942574 ,25.584 ,20.346 ,96.541 ,101.92 ,thin ,K0 ,6.55 ,1.245 ,-41.80 ,-12.60 ,-14.90 ,4532.0 ,,,9.47 ,
2MASS 19033320+4752493 ,-0.15 ,-0.11 ,-0.17 ,-0.17 ,-0.19 ,,-0.07 ,-0.08 ,285.8883679 ,47.8803732 ,311.058 ,-1092.819 ,1256.621 ,1694.14 ,N/A ,,,,,,,,,,,
HIP 11941 ,0.36 ,0.34 ,0.3 ,0.56 ,0.37 ,0.42 ,0.36 ,0.32 ,38.5151673 ,12.1808607 ,34.113 ,27.149 ,9.411 ,44.60 ,N/A ,G1V ,7.49 ,0.666 ,,,,5814.0 ,4.24 ,1.05 ,1.29 ,
HIP 44713 ,0.118 ,0.133 ,0.055 ,0.1525 ,0.1 ,0.033 ,0.1085 ,0.13 ,136.6617961 ,-43.4919770 ,-20.160 ,19.023 ,-26.297 ,38.21 ,thin ,G2V ,7.33 ,0.664 ,-22.40 ,-62.50 ,30.60 ,5753.9 ,4.30 ,1.03 ,1.24 ,
HIP 44716 ,-0.87 ,,,-0.68 ,-0.71 ,,-0.73 ,-0.76 ,136.6788604 ,20.5098604 ,-243.896 ,230.006 ,125.408 ,357.93 ,N/A ,G3III ,7.70 ,0.796 ,,,,4917.0 ,2.55 ,,14.66 ,
HIP 11952 ,-1.78 ,-0.885 ,-0.305 ,-1.215 ,-0.495 ,,-1.28 ,-1.305 ,38.5460356 ,-12.3842904 ,93.485 ,74.484 ,-26.246 ,122.38 ,thick ,F0V ,9.77 ,0.437 ,26.20 ,-93.60 ,-35.10 ,6099.6 ,4.03 ,1.14 ,1.12 ,
HIP 77506 ,-0.15 ,,,0.07 ,0.1 ,,-0.2 ,-0.3 ,237.3915633 ,12.5586923 ,-101.707 ,-158.982 ,42.044 ,193.36 ,thin ,K0 ,6.70 ,0.981 ,-11.90 ,10.30 ,0.70 ,4894.0 ,2.71 ,,12.22 ,
2MASS 19392772+4617090 ,0.1 ,-0.04 ,-0.24 ,0.11 ,0.07 ,,0.07 ,0.11 ,294.8654813 ,46.2858174 ,265.797 ,-573.515 ,661.141 ,914.70 ,N/A ,,,,,,,5381.0 ,4.45 ,0.93 ,0.95 ,
HIP 77512 ,-0.28 ,-0.13 ,0.18 ,-0.08 ,-0.075 ,,-0.015 ,0.002 ,237.3985287 ,26.0683898 ,-24.518 ,-38.336 ,22.262 ,50.66 ,thin ,G5III-IVFe-1 ,4.63 ,0.794 ,-5.00 ,-31.10 ,-4.90 ,5238.3 ,3.25 ,,7.27 ,
HIP 77517 ,0.09 ,0.51 ,0.27 ,0.235 ,0.12 ,0.108 ,0.087 ,0.332 ,237.4070576 ,-49.9635214 ,-15.697 ,-24.551 ,-34.682 ,45.30 ,thin ,G5 ,9.33 ,0.935 ,23.60 ,-79.00 ,20.60 ,5000.0 ,4.26 ,0.83 ,0.83 ,
HIP 110291 ,-0.92 ,-0.29 ,-0.37 ,-0.57 ,-0.685 ,,-0.74 ,-0.835 ,335.0994379 ,46.4182842 ,38.734 ,-17.980 ,44.872 ,61.94 ,thick ,G0 ,8.51 ,0.586 ,66.80 ,-95.10 ,30.60 ,5887.7 ,4.39 ,1.13 ,1.03 ,
2MASS 19164790+4918205 ,-0.13 ,-0.12 ,-0.11 ,-0.09 ,-0.1 ,,-0.16 ,-0.04 ,289.1996101 ,49.3057109 ,278.512 ,-799.795 ,984.812 ,1298.88 ,N/A ,,,,,,,5833.0 ,4.13 ,1.05 ,1.45 ,
HIP 44766 ,-0.02 ,0.08 ,0.26 ,,-0.12 ,,,0.07 ,136.8589111 ,58.8750547 ,-41.737 ,39.113 ,94.728 ,110.66 ,thin ,K1IV ,7.62 ,1.002 ,25.70 ,-64.20 ,-10.70 ,4777.0 ,,,5.18 ,
HIP 77536 ,0.12 ,,0.05 ,0.23 ,0.14 ,,0.16 ,0.06 ,237.4709561 ,14.0656638 ,-49.875 ,-78.200 ,23.238 ,95.62 ,thin ,F8 ,7.52 ,0.584 ,-70.00 ,-54.70 ,-18.00 ,6182.0 ,3.89 ,1.18 ,2.38 ,
HIP 105766 ,-0.65 ,,-0.36 ,,-0.48 ,,-0.48 ,,321.3199878 ,70.4775392 ,6.876 ,-5.504 ,24.841 ,26.36 ,thin ,G0VFe-0.8 ,7.29 ,0.619 ,15.30 ,-72.90 ,-19.00 ,5723.5 ,4.44 ,1.04 ,0.86 ,
BD+47 02703 ,-0.05 ,0.005 ,0.005 ,-0.01 ,-0.08 ,,-0.02 ,-0.06 ,282.3902453 ,47.7110020 ,19.549 ,-88.988 ,100.167 ,135.41 ,N/A ,,9.54 ,,,,,5987.3 ,4.30 ,1.10 ,1.45 ,
HIP 77547 ,0.12 ,0.1 ,0.23 ,0.04 ,0.11 ,-0.05 ,0.12 ,0.2 ,237.5025399 ,-14.0511534 ,-33.460 ,-52.527 ,-15.587 ,64.20 ,thin ,F8V ,8.15 ,0.588 ,-31.80 ,-34.70 ,8.60 ,6144.5 ,4.39 ,1.22 ,1.17 ,
HIP 101875 ,-0.07 ,-0.023 ,-0.0335 ,-0.062 ,-0.0805 ,,-0.052 ,-0.0475 ,309.6674597 ,38.6350929 ,13.584 ,-16.381 ,17.010 ,27.24 ,thin ,G1V ,6.78 ,0.610 ,-0.30 ,-22.40 ,-35.30 ,5814.0 ,4.37 ,1.04 ,1.11 ,
HIP 110327 ,0.09 ,,,0.07 ,0.07 ,0.08 ,0.12 ,0.11 ,335.1905082 ,56.1138410 ,34.167 ,-15.794 ,56.045 ,67.51 ,thin ,F8V ,8.75 ,0.560 ,4.20 ,-10.40 ,-6.70 ,5879.0 ,4.40 ,1.07 ,1.08 ,
HIP 110341 ,-0.06 ,-0.09 ,-0.1 ,0.02 ,-0.08 ,-0.11 ,,-0.03 ,335.2324903 ,8.1867411 ,28.205 ,-13.013 ,4.469 ,31.38 ,thin ,F5V ,6.18 ,0.451 ,-4.80 ,6.70 ,-6.40 ,6396.7 ,4.21 ,1.34 ,1.29 ,
HIP 77578 ,-0.185 ,-0.21 ,-0.24 ,0.07 ,0.03 ,0.29 ,-0.11 ,-0.08 ,237.5731104 ,2.1965109 ,-41.128 ,-64.740 ,2.942 ,76.76 ,thin ,K0IV ,5.23 ,1.019 ,11.70 ,-6.80 ,-17.80 ,4744.0 ,2.84 ,,10.69 ,
HIP 44811 ,-0.64 ,-0.43 ,-0.185 ,-0.28 ,-0.4275 ,-0.3405 ,-0.37 ,-0.36 ,136.9857340 ,-50.4824471 ,-19.138 ,17.855 ,-31.731 ,41.13 ,thin ,G5VFe-1.6CH-1 ,7.74 ,0.575 ,10.40 ,2.20 ,-26.40 ,5770.3 ,4.32 ,1.03 ,1.10 ,
HIP 44814 ,0.11 ,-0.01 ,,0.107 ,0.094 ,,0.137 ,0.224 ,136.9923931 ,-64.0352203 ,-19.277 ,17.981 ,-54.132 ,60.21 ,N/A ,G6/K1III: ,9.75 ,0.856 ,,,,5151.5 ,4.50 ,0.87 ,0.79 ,
HIP 77584 ,0.015 ,,,0.13 ,-0.05 ,0.05 ,0.03 ,0.05 ,237.6086000 ,1.8189817 ,-42.916 ,-67.648 ,2.544 ,80.15 ,N/A ,G3V ,8.28 ,0.623 ,,,,5862.0 ,4.07 ,1.06 ,1.58 ,
HIP 44818 ,0.03 ,-0.27 ,-0.155 ,-0.04 ,0.01 ,0.44 ,0.06 ,0.03 ,137.0002084 ,29.6542350 ,-52.290 ,48.761 ,40.706 ,82.27 ,thin ,G8III ,5.43 ,0.888 ,1.30 ,4.20 ,-18.60 ,5140.8 ,3.15 ,,8.76 ,
HIP 44821 ,-0.08 ,0.38 ,-0.11 ,-0.08 ,-0.145 ,,-0.07 ,0.11 ,137.0088756 ,-49.4495059 ,-14.429 ,13.451 ,-23.056 ,30.34 ,thin ,K2.5V ,8.92 ,0.985 ,-15.70 ,-87.30 ,8.10 ,4891.5 ,4.62 ,0.80 ,0.73 ,
HIP 44827 ,-0.41 ,,,-0.23 ,-0.18 ,,-0.22 ,-0.12 ,137.0227930 ,-58.1296128 ,-68.940 ,64.236 ,-151.559 ,178.46 ,N/A ,G6III/IV ,6.96 ,0.928 ,,,,4984.0 ,2.82 ,,10.63 ,
HIP 12065 ,-0.36 ,-0.44 ,,-0.103 ,-0.362 ,,-0.218 ,0.129 ,38.8959631 ,-4.7671212 ,30.358 ,24.493 ,-3.253 ,39.14 ,N/A ,K4:V ,10.10 ,1.094 ,,,,4674.0 ,4.42 ,0.74 ,0.63 ,
HIP 12067 ,0.183 ,,,,0.014 ,,,0.19 ,38.8983432 ,61.1063060 ,18.235 ,14.713 ,42.455 ,48.49 ,thin ,G3V ,8.42 ,0.696 ,-25.80 ,-13.10 ,-4.50 ,5702.0 ,4.41 ,1.02 ,0.96 ,
HIP 77610 ,-0.36 ,-0.2 ,0.02 ,-0.113 ,-0.233 ,-0.183 ,-0.118 ,-0.03 ,237.6660447 ,-23.2581916 ,-26.150 ,-41.310 ,-21.014 ,53.22 ,thin ,F5/6V ,7.46 ,0.495 ,-21.00 ,-4.80 ,-16.60 ,6281.3 ,4.38 ,1.23 ,1.32 ,
2MASS 00012447-3038583 ,0.1 ,,,-0.07 ,0.09 ,,0.23 ,,0.3519962 ,-30.6495346 ,201.521 ,1.238 ,-119.417 ,234.25 ,N/A ,,10.60 ,,,,,6775.0 ,4.55 ,1.43 ,1.26 ,
HIP 77617 ,-0.06 ,0.045 ,0.145 ,0.05 ,-0.04 ,-0.08 ,-0.0165 ,0.079 ,237.6843854 ,-24.0026484 ,-28.583 ,-45.187 ,-23.809 ,58.53 ,N/A ,G3V ,8.76 ,0.712 ,,,,5593.0 ,4.37 ,0.99 ,1.04 ,
HIP 110391 ,-0.145 ,-0.17 ,-0.135 ,0.12 ,0.035 ,0.53 ,-0.135 ,-0.145 ,335.3982007 ,-21.5982342 ,46.895 ,-21.472 ,-20.419 ,55.47 ,thin ,K0III ,5.13 ,1.057 ,31.70 ,-3.80 ,-41.80 ,4695.0 ,2.71 ,,8.29 ,
HIP 44858 ,-0.2645 ,-0.3425 ,-0.26 ,-0.285 ,-0.3335 ,-0.33 ,-0.28 ,-0.314 ,137.0994560 ,27.5354410 ,-31.714 ,29.471 ,22.571 ,48.82 ,thin ,G0V ,8.26 ,0.580 ,-31.80 ,8.50 ,13.60 ,5973.0 ,4.49 ,1.10 ,0.94 ,
HIP 44860 ,-0.39 ,-0.15 ,0.005 ,-0.1035 ,-0.21 ,-0.23 ,-0.1885 ,-0.13 ,137.1051577 ,-15.1447882 ,-25.584 ,23.770 ,-9.452 ,36.18 ,thick ,G0.5V ,7.34 ,0.617 ,-69.20 ,-74.00 ,-65.00 ,5722.8 ,4.29 ,1.06 ,1.13 ,
HIP 44864 ,-0.287 ,-0.321 ,,-0.117 ,-0.349 ,,-0.224 ,-0.324 ,137.1131515 ,27.5431308 ,-31.869 ,29.601 ,22.684 ,49.06 ,thin ,G0V ,8.28 ,0.580 ,-27.40 ,8.70 ,11.70 ,5960.0 ,4.53 ,1.09 ,0.93 ,
HIP 77637 ,-0.76 ,-0.65 ,-0.38 ,-0.4465 ,-0.578 ,-0.387 ,-0.5 ,-0.508 ,237.7455565 ,8.4232562 ,-84.319 ,-133.614 ,23.396 ,159.72 ,N/A ,G0 ,10.01 ,0.591 ,,,,5654.2 ,4.05 ,1.01 ,1.61 ,
HIP 77641 ,0.26 ,0.06 ,0.185 ,0.2 ,0.26 ,0.25 ,0.205 ,0.28 ,237.7717956 ,-30.0864343 ,-19.753 ,-31.332 ,-21.459 ,42.81 ,thin ,G6V ,8.18 ,0.757 ,-23.80 ,-1.10 ,-40.80 ,5582.5 ,4.48 ,0.99 ,0.99 ,
HIP 12109 ,-0.14 ,-0.25 ,,-0.1 ,-0.152 ,,-0.016 ,0.137 ,39.0032624 ,-27.1783662 ,22.757 ,18.430 ,-15.036 ,32.92 ,thin ,K3.5V(k) ,9.46 ,1.060 ,6.70 ,-28.40 ,-6.50 ,4732.7 ,4.39 ,0.77 ,0.68 ,
HIP 12110 ,0.07 ,0.11 ,,0.03 ,0.12 ,,0.128 ,0.303 ,39.0032320 ,-23.5213240 ,15.110 ,12.237 ,-8.463 ,21.21 ,thin ,K3.5V(k) ,8.33 ,1.069 ,-12.50 ,-8.00 ,-11.60 ,4753.3 ,4.35 ,0.80 ,0.69 ,
HIP 12114 ,-0.1 ,0.135 ,0.105 ,-0.01 ,0.035 ,0.705 ,-0.01 ,0.2 ,39.0204269 ,6.8867868 ,5.580 ,4.522 ,0.867 ,7.23 ,thin ,K3V ,5.83 ,0.918 ,-76.50 ,0.40 ,32.00 ,4863.1 ,4.54 ,0.78 ,0.76 ,
HIP 12119 ,0.015 ,-0.01 ,-0.02 ,0.035 ,-0.005 ,0.02 ,0.05 ,0.01 ,39.0326395 ,-28.2186042 ,25.487 ,20.663 ,-17.607 ,37.24 ,thin ,G9V ,8.35 ,0.770 ,3.80 ,15.50 ,-4.40 ,5420.5 ,4.46 ,0.94 ,0.86 ,
HIP 44890 ,,-0.06 ,-0.12 ,,-0.032 ,-0.18 ,0.07 ,0.06 ,137.1956881 ,-5.1160874 ,-31.781 ,29.434 ,-3.878 ,43.49 ,thin ,G5/6 ,8.18 ,0.655 ,-18.10 ,6.80 ,1.60 ,5808.7 ,4.52 ,1.04 ,0.94 ,
HIP 45711 ,0.08 ,,,0.29 ,0.2 ,0.88 ,0.13 ,0.08 ,139.7820307 ,-46.6394860 ,-131.392 ,111.105 ,-182.211 ,250.62 ,N/A ,K0III ,7.88 ,1.090 ,,,,4900.0 ,2.50 ,,11.32 ,
HIP 44892 ,-0.12 ,,-0.16 ,-0.01 ,-0.18 ,,-0.095 ,-0.21 ,137.1972213 ,26.6291122 ,-21.056 ,19.500 ,14.389 ,32.10 ,thin ,G5IV ,5.98 ,0.654 ,-11.00 ,-55.00 ,-18.20 ,5724.0 ,4.09 ,1.00 ,2.03 ,
HIP 12125 ,0.14 ,-0.17 ,-0.15 ,-0.07 ,-0.15 ,,0.09 ,,39.0498492 ,15.1486938 ,220.637 ,178.986 ,76.917 ,294.33 ,thin ,K0 ,8.36 ,1.028 ,32.00 ,-35.00 ,-12.50 ,4985.0 ,,,10.14 ,
HIP 44896 ,-0.2 ,-0.145 ,-0.16 ,-0.075 ,-0.16 ,-0.23 ,-0.11 ,-0.09 ,137.2074477 ,-10.7575071 ,-29.739 ,27.532 ,-7.700 ,41.25 ,thick ,G3V ,7.15 ,0.610 ,-79.40 ,-86.60 ,-26.40 ,5816.4 ,4.22 ,1.05 ,1.39 ,
HIP 44897 ,0.07 ,-0.01 ,-0.02 ,0.07 ,0.03 ,0.06 ,0.115 ,0.06 ,137.2127940 ,33.8822189 ,-11.594 ,10.732 ,10.609 ,19.03 ,thin ,G0IV-V ,5.90 ,0.585 ,-29.90 ,-13.80 ,3.90 ,5999.5 ,4.53 ,1.10 ,1.05 ,
2MASS 19200732+4209577 ,0.27 ,0.2 ,0.16 ,0.18 ,0.23 ,,0.27 ,0.21 ,290.0305200 ,42.1660436 ,222.274 ,-609.683 ,587.719 ,875.52 ,N/A ,,,,,,,5966.0 ,4.00 ,1.09 ,1.73 ,
HIP 110440 ,0.03 ,0.045 ,-0.125 ,0.0785 ,0.0055 ,0.0625 ,0.041 ,0.0455 ,335.5568060 ,-39.8201480 ,36.968 ,-16.803 ,-33.857 ,52.87 ,thin ,G5V ,8.47 ,0.676 ,22.20 ,-58.30 ,-22.80 ,5759.7 ,4.41 ,1.04 ,0.98 ,
2MASS 19045932+5014326 ,0.15 ,0.06 ,0.19 ,0.09 ,0.14 ,,0.24 ,0.21 ,286.2471842 ,50.2424050 ,81.474 ,-279.576 ,350.043 ,455.34 ,N/A ,,,,,,,5999.0 ,4.20 ,1.11 ,1.39 ,
HIP 12147 ,-0.31 ,-0.29 ,,-0.233 ,-0.299 ,,-0.201 ,-0.029 ,39.1481829 ,-74.1092199 ,10.679 ,8.693 ,-48.370 ,50.29 ,N/A ,K0 ,9.88 ,0.876 ,,,,5050.0 ,4.50 ,0.84 ,0.70 ,
HIP 12148 ,-0.13 ,-0.22 ,-0.14 ,,0.03 ,0.41 ,-0.06 ,-0.11 ,39.1461249 ,7.7300279 ,65.774 ,53.541 ,11.512 ,85.59 ,thin ,K0III: ,5.82 ,1.040 ,35.50 ,4.30 ,2.00 ,4629.0 ,2.20 ,,10.01 ,
HIP 44918 ,0.27 ,0.11 ,0.03 ,0.49 ,0.51 ,0.99 ,0.3 ,0.27 ,137.2596319 ,17.4696533 ,-117.109 ,108.218 ,50.183 ,167.16 ,thin ,K3III ,7.19 ,1.207 ,-67.70 ,-61.30 ,11.10 ,4615.0 ,,,10.91 ,
HIP 44919 ,-0.48 ,,,-0.535 ,-0.305 ,,-0.51 ,,137.2640387 ,-27.0303631 ,-82.629 ,76.344 ,-57.396 ,126.29 ,thin ,F3V ,8.95 ,0.412 ,46.60 ,22.00 ,23.80 ,6477.2 ,3.81 ,1.30 ,1.55 ,
HIP 12158 ,0.24 ,0.11 ,0.04 ,-0.015 ,0.14 ,,0.22 ,0.13 ,39.1740115 ,-3.1561375 ,18.827 ,15.341 ,-1.339 ,24.32 ,thin ,K2.5V(k) ,8.10 ,0.944 ,-42.80 ,-17.50 ,-5.30 ,5084.0 ,4.58 ,0.84 ,0.78 ,
HIP 44927 ,-0.14 ,,0.25 ,0.19 ,-0.03 ,,-0.01 ,0.03 ,137.2742992 ,-16.7586944 ,-70.423 ,65.043 ,-28.868 ,100.12 ,thin ,G0/1V ,7.97 ,0.591 ,-56.50 ,-61.80 ,-14.90 ,5941.5 ,3.90 ,1.09 ,2.23 ,
HIP 44932 ,-0.295 ,,,-0.21 ,-0.32 ,-0.27 ,-0.15 ,-0.15 ,137.2858899 ,72.3047485 ,-26.401 ,24.374 ,112.621 ,118.22 ,thin ,F5 ,7.57 ,0.494 ,-26.10 ,-15.50 ,0.30 ,6226.0 ,3.60 ,1.20 ,2.88 ,
HIP 44935 ,0.078 ,0.0765 ,0.0195 ,0.146 ,0.0375 ,0.0475 ,0.0795 ,0.0665 ,137.2931965 ,10.8216976 ,-47.571 ,43.908 ,12.375 ,65.91 ,N/A ,G5 ,8.71 ,0.664 ,,,,5782.0 ,4.37 ,1.04 ,1.10 ,
HIP 110472 ,-0.16 ,,,-0.16 ,-0.11 ,0.08 ,-0.06 ,0.1 ,335.6578963 ,81.9391374 ,15.407 ,-6.970 ,119.404 ,120.60 ,thin ,F2 ,7.08 ,0.427 ,-29.70 ,-56.20 ,2.10 ,6637.0 ,3.53 ,1.39 ,3.35 ,
HIP 83949 ,-0.61 ,,-0.09 ,-0.37 ,-0.49 ,-0.5 ,-0.445 ,-0.46 ,257.3942414 ,33.3558574 ,-7.951 ,-35.556 ,23.984 ,43.62 ,thin ,G0 ,7.27 ,0.545 ,29.30 ,-53.20 ,24.50 ,5905.3 ,4.22 ,1.08 ,1.35 ,
2MASS 18550494+4201380 ,-0.13 ,-0.09 ,-0.08 ,-0.13 ,-0.13 ,,-0.06 ,-0.15 ,283.7705866 ,42.0272158 ,157.348 ,-642.030 ,595.763 ,889.88 ,N/A ,,,,,,,5841.0 ,4.26 ,1.05 ,1.25 ,
HIP 110487 ,-0.07 ,-0.21 ,-0.12 ,0.04 ,0.1 ,0.35 ,0.01 ,-0.03 ,335.7095049 ,36.6590445 ,92.702 ,-41.838 ,75.696 ,126.78 ,thin ,K0 ,6.45 ,1.052 ,-21.50 ,-2.00 ,28.20 ,4795.0 ,,,10.14 ,
HIP 12184 ,0.26 ,,,,0.29 ,0.05 ,0.51 ,0.62 ,39.2406037 ,24.6480563 ,31.435 ,25.675 ,18.624 ,44.66 ,thin ,F7V ,7.09 ,0.410 ,-26.80 ,-14.50 ,2.00 ,6331.8 ,4.42 ,1.21 ,1.32 ,
HIP 12186 ,0.17 ,0.186 ,0.042 ,0.21 ,0.13 ,0.01 ,0.18 ,0.175 ,39.2441997 ,-34.5779759 ,16.192 ,13.227 ,-14.412 ,25.39 ,thin ,G1V ,5.79 ,0.653 ,22.20 ,-23.90 ,-9.20 ,5807.4 ,4.18 ,1.05 ,1.62 ,
HIP 12191 ,0.33 ,0.295 ,0.26 ,0.275 ,0.333 ,0.16 ,0.272 ,0.31 ,39.2579631 ,42.0626305 ,34.410 ,28.122 ,40.102 ,59.86 ,thin ,G2 ,7.28 ,0.656 ,-10.30 ,14.10 ,-20.00 ,5981.4 ,4.18 ,1.07 ,1.85 ,
HIP 77729 ,0.15 ,-0.06 ,-0.085 ,0.35 ,0.24 ,0.66 ,0.13 ,0.17 ,238.0533546 ,-29.8865316 ,-31.500 ,-50.514 ,-34.213 ,68.66 ,thin ,K0III ,6.40 ,0.991 ,-34.90 ,-51.00 ,4.20 ,4936.0 ,3.43 ,,5.10 ,
2MASS 19344207+4117432 ,-0.23 ,-0.17 ,-0.07 ,-0.08 ,-0.13 ,,-0.14 ,-0.06 ,293.6753324 ,41.2953420 ,87.463 ,-199.481 ,191.322 ,289.91 ,N/A ,,,,,,,5604.1 ,4.40 ,0.99 ,1.04 ,
HIP 12198 ,0.38 ,0.28 ,0.14 ,0.24 ,0.295 ,,0.3 ,0.25 ,39.2735189 ,12.9018945 ,52.436 ,42.878 ,15.516 ,69.49 ,thin ,G5 ,8.68 ,0.665 ,16.60 ,-23.00 ,-12.00 ,5836.5 ,4.39 ,1.04 ,1.19 ,
HD 149747 ,-0.3 ,-0.21 ,,-0.273 ,-0.302 ,-0.345 ,-0.216 ,-0.213 ,259.9978236 ,-87.2429506 ,-1.666 ,-9.445 ,-199.150 ,199.38 ,N/A ,,9.17 ,,,,,5756.5 ,3.95 ,1.04 ,2.94 ,
HIP 12200 ,-0.27 ,,,0.1 ,-0.045 ,-0.2 ,0.11 ,-0.04 ,39.2773729 ,32.8910894 ,32.238 ,26.365 ,26.933 ,49.60 ,thin ,F7V ,6.23 ,0.515 ,-12.10 ,-9.40 ,14.30 ,6204.7 ,4.02 ,1.21 ,2.19 ,
